fat_id,path,start,end,size,class,note
326,/battle/fly031_tex.bin,11756544,11759016,2472,container,"in-house EZBIND"
327,/battle/fly033_mdl.bin,11759104,11776616,17512,container,"in-house EZBIND"
328,/battle/fly033_tex.bin,11777024,11779528,2504,container,"in-house EZBIND"
329,/battle/fly036_mdl.bin,11779584,11797096,17512,container,"in-house EZBIND"
330,/battle/fly036_tex.bin,11797504,11800072,2568,container,"in-house EZBIND"
331,/battle/fly03g_mdl.bin,11800576,11815284,14708,container,"in-house EZBIND"
332,/battle/fly03g_tex.bin,11815424,11819992,4568,container,"in-house EZBIND"
333,/battle/fly044_mdl.bin,11820032,11842384,22352,container,"in-house EZBIND"
334,/battle/fly044_mot.bin,11842560,11989052,146492,container,"in-house EZBIND"
335,/battle/fly044_tex.bin,11989504,11998008,8504,container,"in-house EZBIND"
336,/battle/fly045_mdl.bin,11998208,12018248,20040,container,"in-house EZBIND"
337,/battle/fly045_tex.bin,12018688,12027208,8520,container,"in-house EZBIND"
338,/battle/fly046_mdl.bin,12027392,12049744,22352,container,"in-house EZBIND"
339,/battle/fly046_tex.bin,12049920,12058440,8520,container,"in-house EZBIND"
